name,website,industry,location
Growlytics,https://growlytics.io,SaaS,USA
FinTrack,https://fintrack.app,Fintech,UK
CRMNest,https://crmnest.com,CRM Software,India
HRPulse,https://hrpulse.io,HR Tech,USA
SalesGenie,https://salesgenie.ai,Sales SaaS,Canada
EduGrow,https://edugrow.io,EdTech,USA
PayWise,https://paywise.in,Fintech,India
DataDock,https://datadock.ai,Data Analytics,Germany
ShopMate,https://shopmate.store,Ecommerce,UK
HireFlow,https://hireflow.io,HR Tech,India
LeadSense,https://leadsense.io,Sales Tools,USA
CloudCart,https://cloudcart.ai,Ecommerce,Canada
SmartMed,https://smartmed.io,Healthcare SaaS,USA
AutoCRM,https://autocrm.ai,CRM Software,UK
BizBoard,https://bizboard.com,Dashboards,Germany
TimeBox,https://timebox.app,Productivity Tools,USA
FundSight,https://fundsight.ai,Fintech,India
TeamStack,https://teamstack.io,Team Collaboration,USA
QuickBill,https://quickbill.in,Invoicing,India
AdRocket,https://adrocket.io,AdTech,Canada
